"","tmin.mean","tmin.sd","tmin.01","tmin.025","tmin.05","tmin.50","tmin.95","tmin.975","tmin.99","tseas.mean","tseas.sd","tseas.01","tseas.025","tseas.05","tseas.50","tseas.95","tseas.975","tseas.99","pmin.mean","pmin.sd","pmin.01","pmin.025","pmin.05","pmin.50","pmin.95","pmin.975","pmin.99","pseas.mean","pseas.sd","pseas.01","pseas.025","pseas.05","pseas.50","pseas.95","pseas.975","pseas.99","gbif.records"
"Neomyrtus pedunculata",19.64,17.8649563858037,-5.04,-3.6,-1.8,17,49.6,52.4,54.56,3468.56,236.143332180549,3149.72,3159.8,3178.8,3431,3854,3854,3854,140.6,73.2165737157009,56.24,56.6,57,121,285,285,285,16.44,3.40440890610984,13,13,13.2,15,22.8,24.6,26.04,25
"Nephelium lappaceum",205.711764705882,24.326535596864,132,136,148.4,213,230,236.55,238,656.841176470588,925.802631821365,180,180,186,394,3043.39999999997,4374,4466,122.347058823529,57.0337034962097,11,13.45,15.9,132,237,245,245,32.4705882352941,18.9615545235033,12,12,16,25,76.7499999999999,86,96,179
"Nerium oleander",42.8298237022527,26.7711996237421,2,8,11,42,67,100,181,5366.69404995103,810.647631538373,939,2653,4730.1,5434,6013,6137,6757,13.7835985312117,9.17794731305866,1,2,3,13,21,26,48.3099999999995,40.8309669522644,12.4737921629454,26,28,28,38,64,83,92,8221
"Newbouldia laevis",193.910569105691,23.1845542129729,124,140,147,202,220,222,227,993.756097560976,287.954584319765,501,566.65,589,972,1351.85,1401,2297,21.8922764227642,17.0305398767537,0,0,1,20,55,67,71,67.3617886178862,16.7814271321203,38,45,50.55,63,94,123.725,144,495
"Nicotiana glauca",56.5292254534984,37.4251606651354,-18,-2,9,51,149,166,176,4461.15174200979,1478.07623591214,826,1168.2,1415.8,4766,6425.8,7021,7567.84,9.22055859487475,12.5460792629496,0,0,0,5,32,40,51,62.4025338324215,26.7807129001376,12.72,15,17,65,96,100,108,3551
"Norantea guianensis",186.564482029598,36.06838735388,83,101.4,132.8,199,225,225,225,686.53065539112,566.615292256065,263,287.4,313.8,531,1568.8,2105,2152,61.9640591966173,58.2820870561754,0,1,2,54,170,193,264.4,53.4482029598309,19.1532059632476,17,19,21,52,82,86.2,89,475
"Nothofagus dombeyi",-16.85625,12.9623775262131,-51.46,-38.05,-37,-18,1.04999999999998,18.2500000000001,33.87,3892.69375,341.498105317635,2959.45,3383.85,3553,3807,4298.65,4753.225,5227.85,44.74375,17.8970665791454,16,17.975,20,43.5,65,65.025,90.9699999999999,53.79375,9.09910277904628,43,45,45,51.5,70.1999999999999,79.05,82.41,161
"Nothofagus fusca",24.3970588235294,22.7190101909434,-23.3,-13.25,-9.3,22,52.65,53,57.95,3440.05882352941,359.650239810305,2855.76,2963.55,3017,3461,4037.7,4239,4253.19,84.5588235294118,43.6353212921241,2,26.975,41,75,150.65,206.65,262,20.6911764705882,13.3206800876774,12,12,13,16,27,50.5000000000002,91,71
"Nothofagus menziesii",-2,27.3152887592279,-53.04,-51.6,-49.2,9,28,42,50.4,3854.70588235294,341.957739477023,3262.8,3288,3330,3943,4286.6,4297.8,4304.52,199.117647058824,95.5280602447137,41.96,55.4,77.8,190,350,350,350,16.1176470588235,8.91545254699093,9.48,10.2,11.4,14,22.8,36.4,44.56,19
"Nothofagus solandri",5.38157894736842,25.7997246007333,-59,-39.75,-30.25,-3,51,51,51.25,3545.38157894737,296.733863570496,3051.25,3072.875,3076.75,3524,4082,4149.375,4294.5,98.3157894736842,34.156975091018,46.5,47.875,58.5,89,165,176.25,192,15.8421052631579,4.43336631039048,10.75,11,12.75,14,25,27,27,79
"Nyctanthes arbor-tristis",114.785714285714,90.2738045523716,-179.87,-50.675,53,140,212.55,222,222,2534.64285714286,2253.00548591803,287,287,412.65,1467,4883.85,7215.09999999999,10029.04,24.1071428571429,33.0917235772356,1.54,2.35,3.35,12,102.15,106,106,77.25,22.2371477654114,33,33,34.4,83.5,110.45,120.2,126.68,28
"Nyssa aquatica",-23.2285714285714,50.0341564006299,-157,-157,-96.8,-17,41.8,46.3,47.32,7660.37142857143,962.797641854021,6051.3,6074.25,6256.7,7597,9003.2,9020.15,9020.66,71.5142857142857,14.9220946104434,22,22,40.2,75,87,87,87,19.5142857142857,6.44146233201669,9.68,10.7,11,18,33,34.2,38.28,35
"Nyssa sylvatica",-58.3403755868545,39.3513777482076,-128.75,-114,-109.75,-64,15.5,38.75,50.75,8340.98122065728,1032.64804761097,4766,5930.375,6587.5,8563.5,9465,9658,9788,72.3802816901408,17.4841369694796,16.75,34,38,76,90,92,99.75,15.0586854460094,10.3202294620921,6,6,7,12,27,42.125,68.5,430
"Ochanostachys amentacea",215.936708860759,13.6473713874617,165.41,186.725,194.25,217,231.15,232.3,238.58,334.873417721519,89.3817215940919,173.98,180,203,328.5,485,528.974999999999,615,151.829113924051,34.6675187169047,45,83.85,103,155,198,224,237,22.3417721518987,7.76220809734451,11.57,12,12,22,37,47,50.01,162
"Ocotea puberula",124.427672955975,47.0773236977359,45,55,66,114,212,218,225,2204.88364779874,1125.61768612846,295.54,334.65,405.6,2617,3521,3626,3658.76,69.8815513626834,39.6258156086214,5.53,8,19.65,66,128,139.525,183.17,36.8784067085954,18.7343469514127,9,11,13,33,71.3499999999999,78,88,954
"Oemleria cerasiformis",18.9513064133017,29.0434707106275,-50,-45,-33.95,23,58,63,65,4308.24940617577,1335.70658380939,1963,2027.75,2335.05,4498,6424,6639.7,6895.29,6.89311163895487,10.3752644220852,0,0.0250000000000021,1,2,25,39,55.59,79.4429928741093,12.1341963130666,37,50.025,55,83.5,91,92,96,850
"Olea capensis",78.9634464751958,45.0054530800311,-3.18,10.65,14,79,174.8,190.25,198.44,2682.31853785901,942.019982250437,664.38,780,1018,2668,4254.3,4364,4574.28000000001,22.2872062663185,16.6637839199457,1,1,2,20,55.9,61.45,76.18,59.6031331592689,22.9650130114996,10,11,15,61,90,100.15,107,420
"Olea europaea",43.9519438444924,25.8479531508662,-14,-4,3,45,82,99,125,5063.85079193664,1172.0579435751,791,1080,2650,5316,6415.5,6641,7175,13.3402915242037,10.2247732440363,0,1,2,12,34,42,53.4399999999996,46.8470397696599,17.1844794095763,16,22,28,43,84,89,98,5638
"Oxydendrum arboreum",-32.8571428571429,47.6728600705012,-157,-144.25,-102,-26,46,50.5,57.4,7603.20879120879,987.271070695869,5079.8,5223,6041,7557,9016,9086.5,9406,78.0769230769231,20.4451737142321,22,25,38,80,109,131,141,17.0989010989011,8.63977230288307,7,7,7,18,33,41.25,52,91
"Paliurus spina-christi",18.6402116402116,36.1916834216252,-91,-67,-55.4,30,59,70,81.24,6321.79894179894,1119.5694944833,3670,4545.7,5077,6314,8146,8870.4,9182.16,26.4656084656085,19.3710996698782,0,0,2,23,70,82,82,40.6243386243386,20.5097703808749,16,17,19,36,83.8,96,106.36,194
"Paulownia tomentosa",-9.06293706293706,43.685915154914,-87.05,-82,-67,-8,86.5,95.25,111,7278.03146853147,1863.43303883835,2623.8,2967.875,3048.75,7945,8960,9192,9408.1,49.0524475524476,27.3137850478031,2,5,7.5,48,91,108,119.25,39.506993006993,20.6114842808469,8,9,10,42.5,74.75,81,87.5999999999999,295
"Pennantia corymbosa",16.2926829268293,19.640829797184,-21.4,-16,-10,19,53,60,67.2,3570.58536585366,297.110751707992,3025.6,3118,3120,3616,4024,4153,4163.2,118.829268292683,71.5440082882642,37.4,38,47,106,250,257,269.6,17.6341463414634,5.7782181404001,11,11,12,15,29,31,31.6,41
"Pera glabrata",156.657534246575,41.2968554757948,67.59,79,85,170,206,220,225,1516.36780821918,682.415348855059,386.59,439,476.9,1376,2855.2,2965,3026.25,55.4054794520548,38.0405969442764,2,4,6,49,129.1,140,140,47.3808219178082,20.3585452655169,10,10,14,47,80,86,89,1502
"Perebea guianensis",191.126684636119,25.2422565094701,120,132,138.05,198,219,221,223,505.262803234501,245.81285946913,210.51,225,266.7,445,986,1199,1421.09,135.88679245283,87.8420746666172,9.64,20,25,131,262,418.75,446,33.2628032345013,16.5943811673802,12,12,14,29,61,69,70.59,743
"Phillyrea latifolia",31.0492813141684,25.3218873695411,-20,-9,-5,31,71,78.3499999999999,82.27,5480.3501026694,779.122432790561,3756.74,3902.3,3993.1,5509,6757,6906.4,6951,19.4887063655031,16.3587534287007,0,0.325000000000003,1,17,52,55,56,41.9363449691992,19.2283314167679,17.73,18,20,35,80,90.3499999999999,99,983
"Photinia davidiana",-1.68659793814433,36.7167053566226,-108.96,-90,-68,-4,48,59.6999999999999,65.2799999999997,5939.24536082474,1400.1583734226,1297,4023,4258,6003,8179.4,8675,8675,17.8329896907217,18.5051630144682,3,3,3,12,49,52,70.16,76.1175257731959,19.0473692371752,13,23.1,49,81,103,103,103,485
"Photinia villosa",-12.7658402203857,37.1861487467482,-109,-96.8,-82.3,-13,46.9,51,63.66,7851.34159779614,736.671762933477,5720,6060.25,6469,7880,8750.7,9036.95,9194,51.9090909090909,18.5053374411858,16.1,28,30,46,87,92.95,96,47.5013774104683,11.0036093163563,9,14,33,48,62.9,64,67.38,368
"Picea smithiana",-77.6382978723404,76.7577854801869,-195,-195,-189.9,-94,38,38,39.62,7067.08510638298,2321.00165623629,2291.5,3181.3,4028.3,7954,9460.9,9484,9560.14,16.1914893617021,17.4712662215924,2,2.15,3,9,57.4,58,60.7,54.8297872340426,22.1382210794463,11.84,14.3,16.9,50,90,90,93.78,47
"Pieris formosa",7.28450704225352,26.4486638875596,-73.84,-63.3,-46.3,7,46,52,67.92,5932.32112676056,1621.73563941751,4110.48,4220,4248.5,4850,8306,8675,8675,19.3211267605634,14.3011784459014,2.54,3,3,13,49,50.15,52,74.2985915492958,17.3371640673343,47.54,49,49,76,103,109.15,115,355
"Pieris japonica",-24.6451612903226,32.4162241358423,-89.98,-84,-80.9,-22,25,32,55.6800000000003,7644.91066997519,991.168013911512,4062.04,4471,5230,7858,8674.4,8726,8758.84,52.7965260545906,19.4775872687592,8,15,30,52,88,96,102.94,46.4466501240695,12.0846519758445,11.04,14,28,46,61,74,88.96,403
"Pinus cembra",-71.1241830065359,24.9850798270946,-119.76,-114,-114,-66,-36.2,-21.8,-2.52000000000001,6648.51633986928,944.913126782279,5430.48,5524.2,5626.8,6306,8429.2,8693.4,8753.32,45.2483660130719,17.0364474018405,22.04,27,29,46,78.2,89.2,109,27.8169934640523,7.60750833101982,9.04,10.8,13.2,25,40.4,43.2,44.96,154
"Pinus contorta",-56.9947521865889,69.3137092319903,-283.74,-198,-181.3,-63,37,50,51,5717.97434402332,2065.57375616684,2102,2321,2506,5896,8924,9957.69999999999,13852,19.2145772594752,21.9277086844398,1,2,3,11,64,96,115,58.5562682215743,20.8806873430613,11,15,18,66,81,83,86.7199999999998,1767
"Pinus halepensis",29.7766176299344,19.8780474058537,-8,-4,-1,29,61,64,67,5625.28148895703,365.076403615397,4913.48,5091,5177,5643,6143,6232,6285.38,14.6616465473741,5.82723466194312,3,4,6,14,24,26,30,36.6810542250514,8.3876608130843,24,27,28,35,52,54,57.380000000001,25964
"Pinus longaeva",-101.98828125,25.0302534470298,-150.45,-150,-148,-105,-73,-72,-20,6692.39453125,786.243137449009,5546,5706.5,5859,6688,8162,8246,8411.05,16.125,7.32602131004914,4,8,9,15,33,38,38,38.0390625,13.1878746113506,9.55,11,13,44,51,55,58.8,256
"Pinus maximinoi",107.067164179104,44.5365774757226,10.66,14,27.65,116.5,172,176.725,180.67,1707.55223880597,929.778011885594,624.18,865.425,895,1490,4419.1,4578.525,4669.09,29.5373134328358,34.4832217491605,1.33,2,2,22,127,127,127,74.7014925373134,20.9327709587437,40.32,43,44,69.5,110.35,111.675,112,134
"Pinus mugo",-57.576512455516,36.4515630167627,-155.2,-134,-122,-53,0,2,17.6,6504.36298932384,1163.22118486169,3765.2,4172,4723,6382,8423,9122,10082.2,50.2953736654804,22.5953917540854,11.4,20,27,46,95,100,109.2,26.932384341637,9.90088655887714,8.8,11,12,26,43,46,52,283
"Pinus patula",57.5479452054795,47.2692000976169,-18.64,-10,-4.6,46,141,187.05,192,2280.19178082192,1379.21163817157,279,280.45,304.7,2132,4684,4781,4781,35.1643835616438,28.6026304519294,4.18,5,5,28,87.6,114,132.84,58.7762557077626,22.6383652327499,16,16,21,69,88,88.55,91.82,220
"Pinus radiata",39.2663043478261,28.1553202207823,-28.47,-18,-8,42,78.4499999999999,83.45,92,3426.79347826087,1304.11856907562,367.81,1294.975,1887,3312,5256,5896,6689.39,23.9057971014493,25.3305229482121,0,0,0,18,65,78,97.4300000000001,57.2246376811594,31.8343074455844,10,11.775,13,52,96,96,100,564
"Pinus roxburghii",45.3870967741936,47.2995260154932,-74.5,-27.25,-1,47,85,118.25,176.3,4906.8064516129,1500.11133852024,1638.3,2313.75,3179.5,4758,7802.5,8105,8139.2,17.2903225806452,16.3446087918659,1.3,1.75,2,13,53,61,61,78.741935483871,31.1875698977819,19,23.5,26,93,120,126.25,128.5,31
"Pinus sylvestris",-78.6373353218991,51.107147762824,-186,-151,-137,-87,-2.25,6,15,7438.92654735272,1471.89987734339,4553,5034,5401,7375.5,9187,9187,9624.65,37.2647278150634,14.3692931428869,16,21,24,32,68,77,95,28.2938105891126,7.88545586135462,12,14,15,30,40,44,48,8072
"Pinus wallichiana",-41.0495867768595,68.9371514786801,-195,-191,-160,-34,59,61,85.3999999999999,6566.30578512397,1875.05996723205,3653.2,4020,4250,5709,9398,9441,9583,25.8595041322314,22.6231097866481,1,1,2,21,78,79,79,56.6363636363636,31.9209962250554,8.2,9,9,51,111,111,127.8,121
"Pistacia atlantica",19.3048780487805,52.6641315471709,-125,-121,-88,29,86,86,86,6217.43495934959,1613.89620137532,2962,2962,3136,5896,8770.5,9101.75,9119.2,4.11788617886179,6.49067818248791,0,0,0,2,19.75,24.875,32.65,75.7642276422764,20.4636387534984,19,35,35,80.5,106,110.875,111,247
"Pistacia lentiscus",41.0496505181972,18.4083537429066,-0.0300000000000011,5,9,42,64,68,79.0300000000007,5483.94745721861,394.220754483066,4224.31,4883,5069,5421,6119,6387,6757,12.1926970354302,6.47693525539362,1,2,3,11,22,25,34,41.677633164618,10.662295478059,23,28,29,41,58,68,79.0300000000007,8495
"Platanus orientalis",11.7886178861789,46.8900443892752,-130.56,-68.85,-54.4,10,71,88.6,96.46,6083.94308943089,1532.41733551186,2192.58,3068.6,3657,5985,8537.5,8561.8,8877.78,26.739837398374,19.1947898490813,0,0,0.100000000000001,26,58,61,70,43.7560975609756,25.3067545779599,11,12,12.1,46,96.7,104.95,106,124
"Podocarpus totara",26.8181818181818,24.5013188319717,-27.9,-13,-6,23,74,77,81.4999999999999,3437.87878787879,376.983938108201,2838.1,2899,2936,3394,3995.5,4048,4299.9,129.926406926407,83.3502757857191,30.3,35.5,42.5,102,283,310,318.4,18.0692640692641,9.46363561329728,10,10.75,11,15,28,37.5,52,233
"Polylepis australis",6.76923076923077,38.2974190735134,-56.68,-50.2,-39.4,8,60.4,60.7,60.88,4405.53846153846,430.188062631646,3800,3800,3800,4454,4927.8,5031.9,5094.36,10.1538461538462,15.3885571873289,0,0,0,9,30.7999999999999,44.9,53.36,77.7692307692308,23.6859798409447,27.92,35.3,47.6,71,103.6,104.8,105.52,13
"Prosopis africana",176.451388888889,22.0352006568483,112,135,142,182,210,213,223.98,1695.93055555556,375.44069494857,1059.47,1083.475,1178,1661.5,2300,2306,2442,2.17361111111111,3.54260751249246,0,0,0,0.5,7,9.42499999999998,14,95.4583333333333,20.6034402042899,60,60.575,64,95,137.65,145.85,147,144
"Prumnopitys ferruginea",28.3194444444444,23.3602533687338,-14.71,-10.425,-6.95,24,65,77.9749999999999,88.14,3322.6875,238.111435061387,2771.29,2898.975,2991.7,3296.5,3719.35,3760.125,3765,114.020833333333,57.7490918101324,45.86,47,48.15,92.5,226,251,261.99,17.5694444444444,5.09579941885193,9,10,10.15,17,26.85,28.425,31.85,148
"Prumnopitys taxifolia",27.4521276595745,23.5858392606809,-12.52,-6.65,-1,22,69,74,87,3384.00531914894,269.283571134195,2789.53,2945.7,3025,3358,3832,3853.125,3944.08,92.6914893617021,46.437935487222,39.87,44.35,49,83.5,209.35,250.325,260.65,18.0957446808511,4.95987999884198,10,10.675,12.35,17,27,29.325,31,194
"Prunus avium",-20.6653179190751,37.4680833452075,-105.42,-92,-82,-23,39,45,60,6174.78092485549,1164.63754181298,3692.64,3960.675,4276.45,6027.5,8403.65,8609.3,9070.3,39.1543352601156,21.9444563113903,1.29,4,7,35,82,89,98,29.2040462427746,13.7107391360009,7,10,12,28,59.55,73,82.71,1751
"Prunus cerasifera",-1.69786096256685,46.9268666332851,-158,-94.3,-74,3,60,67,74.53,5590.46390374332,1778.49949390862,2444,2983.45,3299.4,5230,8439,9185,11510,29.4959893048128,18.1514153573522,0,1,1,32,58.65,65.3249999999999,84.0599999999999,41.1978609625668,23.9914843375644,11.47,12,12,33,88,90,100.71,751
"Prunus davidiana",-59.2222222222222,73.9133241518705,-165,-165,-155.7,-32,45.4,67.8999999999999,88.9599999999999,7063.7037037037,1988.73242998214,4658.72,4940.3,5193,6166,11386.2,12426,12426,15.3703703703704,15.8627482053641,3.26,3.65,4,6,45.9,49.05,50.22,71.037037037037,14.4660916030491,50,50,50.3,73,97,99.1,101.44,27
"Prunus laurocerasus",10.7528957528958,33.2483132012648,-83,-63.55,-47.1,15,59,61,70.8399999999999,4842.2972972973,1252.24068028045,2811.6,2977.95,3192.9,4587,6892.8,7422.4,7814,43.8108108108108,22.629449301665,1,2.9,7,42,83,86,94.9799999999992,34.3397683397683,18.2374625498232,11,11,12,28,68.2,77,82,260
"Prunus lusitanica",14.7644444444444,19.0795463075406,-21,-15,-9,13,47,52,62,5052.68888888889,898.592009315879,2972.12,3307.4,3482.8,5164,6640,6661.6,6723.16,32.7333333333333,22.1165742632727,0,1,1,32,62,66.4,67.76,39.4444444444444,21.1727119226312,12,12.6,14.2,34,78.8,83.2,85,233
"Prunus mahaleb",-0.921951219512195,32.1232181621205,-91.71,-78,-66,0,48.55,55,62,5918.84634146341,1017.56383956104,3961.03,4332.8,4723,5757,8529,9313.34999999999,9687.41,28.6747967479675,15.2635624094817,2.29,4,7,27,55,59,71,30.8439024390244,12.7766705772712,11,12,17,27,57.55,65,77,1248
"Prunus persica",12.8290685772774,63.1841769727661,-266,-100.8,-75,19,103,133,144,5769.0593654043,2410.62762229204,302.08,845,1736.8,5373,9645,9722.8,11905,28.661207778915,21.0540595111829,0,1,1,28,70,82.6,94,52.8157625383828,26.6411112505628,11,12,13,49,95.1999999999999,102,103,983
"Prunus serotina",-41.0215410107705,55.9114990081475,-171.94,-148.85,-115.7,-47,61,77.6999999999998,93,7016.67025683513,2649.8255374159,296,529,1029.6,7339,10230.2,10657.4,10847.1,44.4863297431649,28.9212277854442,3,4,5,40,87,90,92,36.7696768848384,27.225457098834,6,7,7,28,88,98.8499999999999,109.94,1213
"Prunus spinosa",-12.825560044069,34.0120788341506,-82,-81,-79,-5,38,49,62,6030.62908556739,857.210912571722,3622,4060.1,4649.6,5944,7541,7579,7731,32.7275064267352,14.6483870232792,4,5,12,30,61,65,78,27.9353654058024,9.09248392305666,12,15,17,27,43,58,66,2793
"Prunus spinulosa",32.8977635782748,48.4106607919756,-32,-32,-23.4,16,125,125,125,6538.82108626198,1703.01238757863,2864,3213.8,3219,7148,8502,8638,8946,68.6070287539936,40.7634933038829,15.36,25,27,55,145,188,188,47.111821086262,14.1644515155765,22,22,22,49,64.8,77,79.88,313
"Prunus virginiana",-66.2735204855842,63.934376316969,-243.65,-205.25,-167,-69,35,47,59,7174.36949924127,1931.126434572,2896,3817,4361,6795,10687.75,10990,12955.85,20.1581942336874,24.7002756632095,0,1,1,10,84,87,89,53.4370257966616,26.7171035645242,7,8,10.75,57,88,90,92,2661
"Pseudolmedia laevigata",185.15548455804,31.1125493033269,109.66,119,125.8,196,229,229,229,619.227902023429,348.341151478544,268.28,309.45,343,465,1219,1306.85,1718.38,103.760383386581,69.4134202187348,2,3.45,7,91,196,205,241,38.9307774227902,19.0999642921691,14,16,16,41,74.0999999999999,78,79,939
"Pseudotsuga menziesii",-36.6464585834334,59.5029298196358,-171.35,-164.375,-147,-28,44,49,49,5795.05282112845,1743.5770383036,2188.05,2352,2660,6086,8556,8848.125,9196.55,18.1326530612245,17.0617969487156,0,1,2,12.5,49,60.75,84,57.2298919567827,24.6441941871806,9,13,17.25,63,90,91,92,1678
"Pseudowintera colorata",9.39204545454546,19.1281316933443,-39.75,-27,-20,7,45,48.5,56.5,3546.92613636364,304.867090851761,2996.5,3026,3123.5,3552,3974,4102.75,4492.75,118.011363636364,59.6259759919032,36.75,41.25,48.5,109.5,239,258,268,17.7386363636364,6.26645366682317,9,10,10,16,28,31,38.5,176
"Pterocarpus officinalis",206.601719197708,15.0321149474878,148,164.4,183,210,224,226,227.52,620.550143266476,276.324336607213,217.48,249.3,276.8,568,1251,1440.3,1592.4,104.335243553009,83.113718256186,9,9,17.8,77,287.599999999999,349.3,402.919999999999,43.2120343839542,13.8390075735041,15.96,18.7,22,44,62,69.9,78.5599999999999,356
"Pterostyrax hispidus",-51.4345991561181,24.6760568340401,-101.48,-94.1,-91.2,-53,-8,-3.50000000000003,1,8051.5864978903,572.853493400945,5193,6502.6,7512.8,8101,8638,8700.7,9182.03999999999,55.3924050632911,20.3792959835314,30,30,30,52,93,99.7,108.64,46.1181434599156,8.6054505744616,10.08,25.7,31.8,46,59,59,59,237
"Punica granatum",48.7093184979138,56.221344638792,-65,-41,-17,43,176.15,197.075,218.26,5295.73226703755,2029.01292474889,373,630,982.8,5410,8342,8680.7,9138.02999999999,18.6724617524339,17.3428469987441,0,1,2,14,48,71,97,47.8894297635605,20.5554974526786,11,20,27,44,92,97.075,104,1455
"Pycnanthus angolensis",192.50701754386,19.0629551744245,140,147,156,194,216,217,220,903.954385964912,250.6635931513,426,442,551,890,1203,1770.95,1820,28.6280701754386,22.232481141572,0,1,2,23,74,79,81,61.8263157894737,12.1588638690264,29,29,40,61,83,83,93,574
"Pyrus calleryana",15.6319796954315,48.8971407567752,-97,-86,-77.35,20,90.35,97.175,103.35,7021.05076142132,1584.02079704069,3686.93,3882,4061,7109.5,9243.4,9658.1,9692,40.4365482233503,19.3656994392787,0,1,6,40,80,84,85,52.253807106599,21.7756674489714,7,7,14,57,83.35,93.4000000000001,111,402
"Quercus coccifera",30.8538523623269,19.8417712861608,-14,-4,0,30,62,64,67,5621.75153659899,336.249351048162,4907.84,5091,5167,5625,6168,6232,6323.34000000001,14.3277457006271,6.02830171853855,2,4,7,14,25,27,35,37.2053765443596,8.25069983895687,22,26,27,35,52,55,67,16214
"Quercus faginea",13.53088934148,21.5143762857196,-28,-24,-18,9,56,64,71,5759.8576601041,461.030926834151,4334,4736.35,4933,5807,6516.1,6808.1,6901,20.7006109979633,11.8098227021724,1,2,3,22,43,46,50,34.63272233537,13.3630310725344,18,19,20,29,66,69,70,4422
"Quercus ilex",15.0918962250401,19.5035855435172,-28,-19,-9,14,54,59,64,5730.61244716514,390.432280950068,3966,4832,5210,5764,6226,6285,6343,20.4133508234951,9.16670775252876,3,7,9,19,37,46,53,31.919108001749,7.71583825893464,18,21,24,30,45,49,62,13749
"Quercus semecarpifolia",-48.8181818181818,55.4455822172749,-172.35,-151,-143.5,-40.5,45,50.75,55.1499999999999,5608.54545454545,1508.71166824616,4246.85,4260,4271,5033.5,8368,8636.125,9198.7,9.04545454545454,8.75026473126001,0,0,0,6,26.25,27.75,30.75,90.5909090909091,23.4179269086591,43,43.625,46.25,91,117,118,118,66
"Rhamnus alaternus",34.626244779955,23.4730684664232,-20,-12,-4,38,67,73,81,5432.47526501767,605.331949119679,3113.75,3675.25,4026,5465,6200,6296.75,6572,16.4397687118535,11.8812593362984,1,2,3,14,44,52,59.75,39.1562801156441,12.7437200185519,17,19,22,37,63,70,87,6287
"Rhamnus cathartica",-59.9656040268456,47.2597338452906,-189.09,-157.225,-148,-60,14,19,25.1799999999998,7365.0755033557,1707.40155298751,4600,4802.85,4943,6997.5,10759.9,10895.525,11786.63,41.9513422818792,19.0231459585375,10,12,16,35,82,86,88.0899999999999,23.9295302013423,11.3935801939674,7,7,8,23,45,54,63.0899999999999,1268
"Rhaphiolepis indica",102.542763157895,52.0925630870033,-95.98,-8.425,20,110,161,164,169.85,3630.82894736842,1336.54000260569,1520,2028,2475,3406,6249.09999999997,7195.225,9386.34999999998,49.5263157894737,36.6782365247651,0.0300000000000002,1,2,49,115,147,156.85,66.1019736842105,26.5824477944598,14.12,19,20,74,97.85,102,103.97,312
"Rhododendron anthopogon",-125.670454545455,56.7609874098842,-224,-221.025,-198,-132,-12.9000000000001,3.47500000000001,24,6933.47727272727,1762.87535484472,4505.29,4656,4753,6606.5,9771.5,10049.5,10224.67,11.4772727272727,8.61564638268259,0,0.175,1.35,10,25,25,34.91,66.4659090909091,29.1365981745818,38,39,39,49.5,117.65,119,121,88
"Rhus coriaria",19.2744360902256,27.636110241918,-32.05,-24.125,-18,16,64,74,83.8000000000002,5953.21052631579,611.235551082925,4938.4,4977.75,5067.5,6021.5,6757,6884.5,7280.8,16.3157894736842,16.8441775040954,0,0,0,11,55,56,57.0500000000001,49.8721804511278,27.1394480092459,16,18,18,48,107.75,109,110,272
"Rhus glabra",-78.8873056994819,46.1190473801523,-239.16,-232.45,-150,-77,0,4,12,8774.12176165803,1455.69284565826,5193,6060.375,6377.75,8801.5,10787.7,12930.45,13047.35,38.6981865284974,27.6508872569662,4,5.275,8,28,86,87.725,89.29,33.9650259067358,19.1093534013651,7,7,7,36.5,63,74,80,777
"Rosa canina",-23.1697959183673,37.72085408235,-103,-90,-81,-31,47,59,68,6175.8568707483,1002.29759986338,3464.96,3876.65,4180.7,6396,7455,8027,8806,33.1219047619048,16.1304847589663,0,3,5,32,62,76,87,29.6585034013605,15.2133656619951,11,11,14,25,60,76,105,3725
"Rubus idaeus",-98.1519594774727,61.2770090286133,-292,-258.5,-210,-92,-16,-3,16,7434.77792588643,1997.88648886849,4002.5,4604.5,4944,7201,11073,12975,14381,44.020261263663,22.3658099794841,8,10,15,38,87.5,97,104,29.3838976272994,12.1396011732038,7,8,12,27,54,62,69,3804
"Rubus swinhoei",48.2913385826772,44.3175966048352,-18,-18,-5,40,113,119.4,125.18,6233.22047244094,1755.04397319028,2902.92,3236,3293,7105,8296.4,8615,8660,83.6062992125984,64.5523237357691,17,19,19,48,188,195.55,196.74,50.5826771653543,13.6058116346001,17.52,19.6,24,54,69.4,73.55,76,129
"Ruyschia tremadena",137.52380952381,50.6681547400525,72.8,75.5,80,138,213,213,213,555,242.619661198346,224.4,234,250,542,841,973,1052.2,51.8095238095238,59.2229845985653,6.4,8.5,12,33,125,200,245,47.8095238095238,12.6870762889605,23.6,26,30,47,64,70,73.6,21
"Salix alaxensis",-248.538657604078,93.8435270034185,-395,-379.6,-365,-271,-72,-58,-48,11731.9660152931,3242.78559427056,4978.88,5340,5818,12760,15495,15912,16251.8,20.4197111299915,22.4309344884543,3,4,4,12,76.2,87,110.96,52.0790144435004,15.2157849601334,18.76,20,26,53,75,79,87,1195
"Salix alba",-19.4489693313223,58.6522339084221,-180.24,-151,-119.6,-8,60,66,79,6382.01608848668,1726.79074161712,3112,3653.2,3776,6137,9677.6,10770.3,11489.24,35.2473604826546,21.0177214993302,0,2,3,34,77.5999999999999,84,88,29.7722473604827,16.0303068734786,7,9,11,28,64,75,83,1997
"Salix triandra",-70.8630993745657,57.7478454256532,-177,-173,-164,-71,16,24,48,7353.49756775539,1428.06004258106,4716,4792,5031.8,7454,9563.1,9690.05,9792,35.7442668519805,13.5669639408122,5,12,17,33,61,67.05,74,30.2536483669215,9.96971834948522,11,14,19,28,47,51,61,1440
